City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Brae,GB,2021-04-13 17:59:24,60.3964,-1.353,42.8,52,75,9.22
68,Dikson,RU,2021-04-13 17:59:24,73.5069,80.5464,5.9,91,100,14.67
69,Hilo,US,2021-04-13 17:59:24,19.7297,-155.09,68.0,68,1,6.91
70,Olafsvik,IS,2021-04-13 17:59:25,64.8945,-23.7142,41.79,85,14,9.66
71,Republic,US,2021-04-13 17:55:27,37.12,-93.4802,59.0,47,90,11.5
72,Bluff,NZ,2021-04-13 17:59:25,-46.6,168.3333,51.01,96,99,5.01
73,Ouargaye,BF,2021-04-13 17:59:26,11.5033,0.0572,103.3,12,20,3.47
74,Kodiak,US,2021-04-13 17:55:03,57.79,-152.4072,37.4,87,1,8.75
75,Kungurtug,RU,2021-04-13 17:59:26,50.5994,97.5228,31.5,96,97,5.26
76,Nanortalik,GL,2021-04-13 17:59:27,60.1432,-45.2371,38.64,69,3,6.31
77,Hobart,AU,2021-04-13 17:59:27,-42.8794,147.3294,59.0,67,99,17.27
78,Chokurdakh,RU,2021-04-13 17:59:28,70.6333,147.9167,-13.49,97,18,5.99
79,Port Elizabeth,ZA,2021-04-13 17:59:28,-33.918,25.5701,69.8,94,75,3.44
80,Puri,IN,2021-04-13 17:59:28,19.8,85.85,82.4,89,40,6.91
81,Hermanus,ZA,2021-04-13 17:59:29,-34.4187,19.2345,64.99,80,59,1.99
82,Ostrovnoy,RU,2021-04-13 17:59:29,68.0531,39.5131,30.99,97,100,15.43
83,Ust-Maya,RU,2021-04-13 17:59:29,60.4167,134.5333,-5.67,100,21,1.68
84,Mount Gambier,AU,2021-04-13 17:59:30,-37.8333,140.7667,51.8,93,40,9.22
85,Yarada,IN,2021-04-13 17:59:30,17.65,83.2667,82.4,69,75,2.3
86,Conde,BR,2021-04-13 17:59:31,-7.2597,-34.9075,84.2,84,75,12.66
87,Katsuura,JP,2021-04-13 17:59:31,35.1333,140.3,63.0,94,100,3.0
88,Upernavik,GL,2021-04-13 17:59:31,72.7868,-56.1549,9.77,91,100,10.02
89,Adrar,MR,2021-04-13 17:59:32,20.5022,-10.0711,95.22,11,57,10.09
90,Pisco,PE,2021-04-13 17:54:43,-13.7,-76.2167,69.8,73,0,10.36
91,Port Macquarie,AU,2021-04-13 17:59:32,-31.4333,152.9167,52.0,96,7,1.01
92,Shuyskoye,RU,2021-04-13 17:59:33,59.3736,41.0305,50.68,85,99,8.21
93,Lorengau,PG,2021-04-13 17:59:33,-2.0226,147.2712,78.51,80,100,8.05
94,Zaysan,KZ,2021-04-13 17:59:33,47.4667,84.8667,44.29,59,23,11.7
95,Busselton,AU,2021-04-13 17:59:34,-33.65,115.3333,48.99,96,70,3.0
96,Riberalta,BO,2021-04-13 17:59:34,-10.9833,-66.1,82.4,69,75,11.5
97,Ribeira Grande,PT,2021-04-13 17:59:35,38.5167,-28.7,66.2,82,40,17.27
98,Lazaro Cardenas,MX,2021-04-13 17:59:35,17.9583,-102.2,83.16,56,42,9.26
99,Evensk,RU,2021-04-13 17:59:35,61.95,159.2333,-7.22,81,9,7.4
100,San Cristobal,VE,2021-04-13 17:59:36,7.7669,-72.225,95.0,31,40,20.71
101,Jalu,LY,2021-04-13 17:59:36,29.0331,21.5482,77.61,13,2,10.54
102,Berlevag,NO,2021-04-13 17:59:37,70.8578,29.0864,26.6,68,0,8.05
103,Broome,US,2021-04-13 17:59:37,42.2506,-75.833,60.01,55,23,3.0
104,Byron Bay,AU,2021-04-13 17:55:53,-28.65,153.6167,51.8,93,4,4.7
105,Alagoa Grande,BR,2021-04-13 17:59:38,-7.1583,-35.63,86.0,54,75,9.22
106,Gigmoto,PH,2021-04-13 17:59:38,13.7796,124.39,78.4,87,86,4.38
107,Guerrero Negro,MX,2021-04-13 17:59:38,27.9769,-114.0611,64.49,58,52,17.85
108,Bilibino,RU,2021-04-13 17:59:39,68.0546,166.4372,-14.85,84,97,3.69
109,Mineiros,BR,2021-04-13 17:58:11,-17.5694,-52.5511,84.88,32,1,3.18
110,Tasiilaq,GL,2021-04-13 17:59:39,65.6145,-37.6368,33.8,75,20,9.22
111,Victoria,HK,2021-04-13 17:56:12,22.2855,114.1577,77.0,87,9,1.01
112,Hithadhoo,MV,2021-04-13 17:59:40,-0.6,73.0833,83.21,64,96,7.27
113,Mae Sai,TH,2021-04-13 17:59:40,20.4335,99.8762,69.8,100,40,4.61
114,Sao Joao Da Barra,BR,2021-04-13 17:59:41,-21.6403,-41.0511,73.4,88,75,16.11
115,Santa Helena,BR,2021-04-13 17:56:36,-2.2311,-45.3,85.82,64,100,3.18
116,Cabedelo,BR,2021-04-13 17:59:42,-6.9811,-34.8339,84.2,84,75,12.66
117,Acarau,BR,2021-04-13 17:59:42,-2.8856,-40.12,82.71,73,37,15.26
